PROCESS NAME                   PID              TIME       STATUS
<unknown>                      14272          10:15:06     END
cmd.exe                        14748          10:15:06     START
<unknown>                      14824          10:15:06     START
<unknown>                      18512          10:15:06     START
<unknown>                      2000           10:15:06     START
<unknown>                      15512          10:15:06     START
cmd.exe                        14748          10:15:06     END
<unknown>                      18512          10:15:06     END
<unknown>                      14824          10:15:06     END
<unknown>                      2000           10:15:06     END
<unknown>                      13364          10:15:08     START
